MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
[] Start fitting sub-3 run-23 
[] Start fitting sub-3 run-29 
[] Start fitting sub-3 run-55 
[] Start fitting sub-3 run-31 
[] Start fitting sub-3 run-50 
[] Start fitting sub-3 run-52 
[] Start fitting sub-3 run-34 
[] Start fitting sub-3 run-46 
[] Start fitting sub-3 run-43 
[] Start fitting sub-3 run-40 
[] Start fitting sub-3 run-36 
[] Start fitting sub-3 run-44 
[] Start fitting sub-3 run-48 
[] Start fitting sub-3 run-32 
[] Start fitting sub-3 run-56 
[] Start fitting sub-3 run-26 
[] Start fitting sub-3 run-54 
[] Start fitting sub-3 run-24 
[] Start fitting sub-3 run-38 
[] Start fitting sub-3 run-30 
[] Start fitting sub-3 run-62 
[] Start fitting sub-3 run-20 
[] Start fitting sub-3 run-28 
[] Start fitting sub-3 run-22 
[] Start fitting sub-3 run-65 
[] Start fitting sub-3 run-42 
[] Start fitting sub-3 run-66 
[] Start fitting sub-3 run-61 
[] Start fitting sub-3 run-60 
[] Start fitting sub-3 run-67 
[] Start fitting sub-3 run-59 
[] Start fitting sub-3 run-64 
[] Start fitting sub-3 run-70 
[] Start fitting sub-3 run-75 
[] Start fitting sub-3 run-77 
[] Start fitting sub-3 run-74 
[] Start fitting sub-3 run-69 
[] Start fitting sub-3 run-79 
[] Start fitting sub-3 run-78 
[] Start fitting sub-3 run-58 
[] Start fitting sub-3 run-72 
[] Start fitting sub-3 run-76 
[] Start fitting sub-3 run-68 
[] Start fitting sub-3 run-71 
[] Start fitting sub-3 run-80 
[] Start fitting sub-3 run-63 
[] Start fitting sub-3 run-73 
[] Start fitting sub-4 run-1 
[] Start fitting sub-4 run-2 
[] Start fitting sub-4 run-3 
[] Start fitting sub-4 run-4 
[] Start fitting sub-4 run-5 
[] Start fitting sub-4 run-6 
[] Start fitting sub-4 run-7 
[] Start fitting sub-4 run-8 
[] Start fitting sub-4 run-9 
[] Start fitting sub-4 run-10 
[] Start fitting sub-4 run-11 
[] Start fitting sub-4 run-12 
[] Start fitting sub-4 run-13 
[] Start fitting sub-4 run-14 
[] Start fitting sub-4 run-15 
[] Start fitting sub-4 run-16 
[] Start fitting sub-4 run-17 
[] Start fitting sub-4 run-18 
[] Start fitting sub-4 run-19 
[] Start fitting sub-4 run-23 
[] Start fitting sub-4 run-41 
[] Start fitting sub-4 run-35 
[] Start fitting sub-4 run-51 
[] Start fitting sub-4 run-43 
[] Start fitting sub-4 run-37 
[] Start fitting sub-4 run-57 
[] Start fitting sub-4 run-53 
[] Start fitting sub-4 run-29 
[] Start fitting sub-4 run-55 
[] Start fitting sub-4 run-21 
[] Start fitting sub-4 run-49 
[] Start fitting sub-4 run-45 
[] Start fitting sub-4 run-25 
[] Start fitting sub-4 run-27 
[] Start fitting sub-4 run-47 
[] Start fitting sub-4 run-31 
[] Start fitting sub-4 run-33 
[] Start fitting sub-4 run-39 
[] Start fitting sub-4 run-34 
[] Start fitting sub-4 run-52 
[] Start fitting sub-4 run-22 
[] Start fitting sub-4 run-40 
[] Start fitting sub-4 run-54 
[] Start fitting sub-4 run-28 
[] Start fitting sub-4 run-26 
[] Start fitting sub-4 run-44 
[] Start fitting sub-4 run-36 
[] Start fitting sub-4 run-20 
[] Start fitting sub-4 run-48 
[] Start fitting sub-4 run-60 
[] Start fitting sub-4 run-56 
[] Start fitting sub-4 run-32 
[] Start fitting sub-4 run-50 
[] Start fitting sub-4 run-24 
[] Start fitting sub-4 run-46 
[] Start fitting sub-4 run-42 
[] Start fitting sub-4 run-65 
[] Start fitting sub-4 run-30 
[] Start fitting sub-4 run-63 
[] Start fitting sub-4 run-77 
[] Start fitting sub-4 run-70 
[] Start fitting sub-4 run-66 
[] Start fitting sub-4 run-67 
[] Start fitting sub-4 run-73 
[] Start fitting sub-4 run-61 
[] Start fitting sub-4 run-68 
[] Start fitting sub-4 run-69 
[] Start fitting sub-4 run-58 
[] Start fitting sub-4 run-59 
[] Start fitting sub-4 run-75 
[] Start fitting sub-4 run-38 
[] Start fitting sub-4 run-64 
[] Start fitting sub-4 run-72 
[] Start fitting sub-4 run-78 
[] Start fitting sub-4 run-74 
[] Start fitting sub-4 run-71 
[] Start fitting sub-4 run-80 
[] Start fitting sub-4 run-62 
[] Start fitting sub-4 run-79 
[] Start fitting sub-4 run-76 
[] Start fitting sub-5 run-1 
[] Start fitting sub-5 run-2 
[] Start fitting sub-5 run-3 
[] Start fitting sub-5 run-4 
[] Start fitting sub-5 run-5 
[] Start fitting sub-5 run-6 
[] Start fitting sub-5 run-7 
[] Start fitting sub-5 run-8 
[] Start fitting sub-5 run-9 
[] Start fitting sub-5 run-10 
[] Start fitting sub-5 run-11 
[] Start fitting sub-5 run-12 
[] Start fitting sub-5 run-13 
[] Start fitting sub-5 run-14 
[] Start fitting sub-5 run-15 
[] Start fitting sub-5 run-16 
[] Start fitting sub-5 run-17 
[] Start fitting sub-5 run-18 
[] Start fitting sub-5 run-19 
[] Start fitting sub-5 run-53 
[] Start fitting sub-5 run-39 
[] Start fitting sub-5 run-33 
[] Start fitting sub-5 run-35 
[] Start fitting sub-5 run-51 
[] Start fitting sub-5 run-37 
[] Start fitting sub-5 run-29 
[] Start fitting sub-5 run-49 
[] Start fitting sub-5 run-57 
[] Start fitting sub-5 run-45 
[] Start fitting sub-5 run-55 
[] Start fitting sub-5 run-21 
[] Start fitting sub-5 run-47 
[] Start fitting sub-5 run-23 
[] Start fitting sub-5 run-31 
[] Start fitting sub-5 run-25 
[] Start fitting sub-5 run-43 
[] Start fitting sub-5 run-41 
[] Start fitting sub-5 run-38 
[] Start fitting sub-5 run-27 
[] Start fitting sub-5 run-28 
[] Start fitting sub-5 run-52 
[] Start fitting sub-5 run-32 
[] Start fitting sub-5 run-50 
[] Start fitting sub-5 run-36 
[] Start fitting sub-5 run-54 
[] Start fitting sub-5 run-48 
[] Start fitting sub-5 run-34 
[] Start fitting sub-5 run-42 
[] Start fitting sub-5 run-20 
[] Start fitting sub-5 run-46 
[] Start fitting sub-5 run-24 
[] Start fitting sub-5 run-30 
[] Start fitting sub-5 run-56 
[] Start fitting sub-5 run-22 
[] Start fitting sub-5 run-40 
[] Start fitting sub-5 run-63 
[] Start fitting sub-5 run-58 
[] Start fitting sub-5 run-68 
[] Start fitting sub-5 run-62 
[] Start fitting sub-5 run-60 
[] Start fitting sub-5 run-61 
[] Start fitting sub-5 run-59 
[] Start fitting sub-5 run-64 
[] Start fitting sub-5 run-65 
[] Start fitting sub-5 run-26 
[] Start fitting sub-5 run-70 
[] Start fitting sub-5 run-74 
[] Start fitting sub-5 run-44 
[] Start fitting sub-5 run-69 
[] Start fitting sub-5 run-75 
[] Start fitting sub-5 run-66 
[] Start fitting sub-5 run-71 
[] Start fitting sub-5 run-77 
[] Start fitting sub-5 run-78 
[] Start fitting sub-5 run-73 
[] Start fitting sub-5 run-72 
[] Start fitting sub-5 run-80 
[] Start fitting sub-5 run-79 
[] Start fitting sub-5 run-67 
[] Start fitting sub-5 run-76 
[] Start fitting sub-6 run-1 
[] Start fitting sub-6 run-2 
[] Start fitting sub-6 run-3 
[] Start fitting sub-6 run-4 
[] Start fitting sub-6 run-5 
[] Start fitting sub-6 run-6 
[] Start fitting sub-6 run-7 
[] Start fitting sub-6 run-8 
[] Start fitting sub-6 run-9 
[] Start fitting sub-6 run-10 
[] Start fitting sub-6 run-11 
[] Start fitting sub-6 run-12 
[] Start fitting sub-6 run-13 
[] Start fitting sub-6 run-14 
[] Start fitting sub-6 run-15 
[] Start fitting sub-6 run-16 
[] Start fitting sub-6 run-17 
[] Start fitting sub-6 run-18 
[] Start fitting sub-6 run-19 
[] Start fitting sub-6 run-29 
[] Start fitting sub-6 run-45 
[] Start fitting sub-6 run-21 
[] Start fitting sub-6 run-41 
[] Start fitting sub-6 run-51 
[] Start fitting sub-6 run-37 
[] Start fitting sub-6 run-33 
[] Start fitting sub-6 run-39 
[] Start fitting sub-6 run-49 
[] Start fitting sub-6 run-55 
[] Start fitting sub-6 run-57 
[] Start fitting sub-6 run-25 
[] Start fitting sub-6 run-53 
[] Start fitting sub-6 run-35 
[] Start fitting sub-6 run-27 
[] Start fitting sub-6 run-31 
[] Start fitting sub-6 run-47 
[] Start fitting sub-6 run-43 
[] Start fitting sub-6 run-50 
[] Start fitting sub-6 run-23 
[] Start fitting sub-6 run-28 
[] Start fitting sub-6 run-44 
[] Start fitting sub-6 run-48 
[] Start fitting sub-6 run-40 
[] Start fitting sub-6 run-46 
[] Start fitting sub-6 run-54 
[] Start fitting sub-6 run-34 
[] Start fitting sub-6 run-56 
[] Start fitting sub-6 run-30 
[] Start fitting sub-6 run-20 
[] Start fitting sub-6 run-36 
[] Start fitting sub-6 run-52 
[] Start fitting sub-6 run-24 
[] Start fitting sub-6 run-32 
[] Start fitting sub-6 run-42 
[] Start fitting sub-6 run-38 
[] Start fitting sub-6 run-26 
[] Start fitting sub-6 run-62 
[] Start fitting sub-6 run-65 
[] Start fitting sub-6 run-58 
[] Start fitting sub-6 run-22 
[] Start fitting sub-6 run-59 
[] Start fitting sub-6 run-61 
[] Start fitting sub-6 run-67 
[] Start fitting sub-6 run-71 
[] Start fitting sub-6 run-70 
[] Start fitting sub-6 run-73 
[] Start fitting sub-6 run-63 
[] Start fitting sub-6 run-68 
[] Start fitting sub-6 run-66 
[] Start fitting sub-6 run-74 
[] Start fitting sub-6 run-60 
[] Start fitting sub-6 run-79 
[] Start fitting sub-6 run-78 
[] Start fitting sub-6 run-75 
[] Start fitting sub-6 run-72 
[] Start fitting sub-6 run-69 
[] Start fitting sub-6 run-76 
[] Start fitting sub-6 run-80 
[] Start fitting sub-6 run-77 
[] Start fitting sub-6 run-64 
[] Start fitting sub-7 run-1 
[] Start fitting sub-7 run-2 
[] Start fitting sub-7 run-3 
[] Start fitting sub-7 run-4 
[] Start fitting sub-7 run-5 
[] Start fitting sub-7 run-6 
[] Start fitting sub-7 run-7 
[] Start fitting sub-7 run-8 
[] Start fitting sub-7 run-9 
[] Start fitting sub-7 run-10 
[] Start fitting sub-7 run-11 
[] Start fitting sub-7 run-12 
[] Start fitting sub-7 run-13 
[] Start fitting sub-7 run-14 
[] Start fitting sub-7 run-15 
[] Start fitting sub-7 run-16 
[] Start fitting sub-7 run-17 
[] Start fitting sub-7 run-18 
[] Start fitting sub-7 run-19 
[] Start fitting sub-7 run-41 
[] Start fitting sub-7 run-53 
[] Start fitting sub-7 run-55 
[] Start fitting sub-7 run-33 
[] Start fitting sub-7 run-37 
[] Start fitting sub-7 run-39 
[] Start fitting sub-7 run-29 
[] Start fitting sub-7 run-49 
[] Start fitting sub-7 run-21 
[] Start fitting sub-7 run-23 
[] Start fitting sub-7 run-35 
[] Start fitting sub-7 run-45 
[] Start fitting sub-7 run-43 
[] Start fitting sub-7 run-27 
[] Start fitting sub-7 run-25 
[] Start fitting sub-7 run-52 
[] Start fitting sub-7 run-31 
[] Start fitting sub-7 run-54 
[] Start fitting sub-7 run-47 
[] Start fitting sub-7 run-40 
[] Start fitting sub-7 run-34 
[] Start fitting sub-7 run-22 
[] Start fitting sub-7 run-36 
[] Start fitting sub-7 run-57 
[] Start fitting sub-7 run-32 
[] Start fitting sub-7 run-51 
[] Start fitting sub-7 run-38 
[] Start fitting sub-7 run-48 
[] Start fitting sub-7 run-26 
[] Start fitting sub-7 run-59 
[] Start fitting sub-7 run-20 
[] Start fitting sub-7 run-46 
[] Start fitting sub-7 run-24 
[] Start fitting sub-7 run-42 
[] Start fitting sub-7 run-28 
[] Start fitting sub-7 run-44 
[] Start fitting sub-7 run-58 
[] Start fitting sub-7 run-60 
[] Start fitting sub-7 run-62 
[] Start fitting sub-7 run-67 
[] Start fitting sub-7 run-68 
[] Start fitting sub-7 run-50 
[] Start fitting sub-7 run-61 
[] Start fitting sub-7 run-63 
[] Start fitting sub-7 run-70 
[] Start fitting sub-7 run-74 
[] Start fitting sub-7 run-56 
[] Start fitting sub-7 run-30 
[] Start fitting sub-7 run-79 
[] Start fitting sub-7 run-66 
[] Start fitting sub-7 run-65 
[] Start fitting sub-7 run-78 
[] Start fitting sub-7 run-77 
[] Start fitting sub-7 run-69 
[] Start fitting sub-7 run-72 
[] Start fitting sub-7 run-64 
[] Start fitting sub-7 run-73 
[] Start fitting sub-7 run-80 
[] Start fitting sub-7 run-71 
[] Start fitting sub-7 run-75 
[] Start fitting sub-7 run-76 
[] Start fitting sub-8 run-1 
[] Start fitting sub-8 run-2 
[] Start fitting sub-8 run-3 
[] Start fitting sub-8 run-4 
[] Start fitting sub-8 run-5 
[] Start fitting sub-8 run-6 
[] Start fitting sub-8 run-7 
[] Start fitting sub-8 run-8 
[] Start fitting sub-8 run-9 
[] Start fitting sub-8 run-10 
[] Start fitting sub-8 run-11 
[] Start fitting sub-8 run-12 
[] Start fitting sub-8 run-13 
[] Start fitting sub-8 run-14 
[] Start fitting sub-8 run-15 
[] Start fitting sub-8 run-16 
[] Start fitting sub-8 run-17 
[] Start fitting sub-8 run-18 
[] Start fitting sub-8 run-19 
[] Start fitting sub-8 run-55 
[] Start fitting sub-8 run-41 
[] Start fitting sub-8 run-45 
[] Start fitting sub-8 run-53 
[] Start fitting sub-8 run-49 
[] Start fitting sub-8 run-33 
[] Start fitting sub-8 run-39 
[] Start fitting sub-8 run-21 
[] Start fitting sub-8 run-29 
[] Start fitting sub-8 run-37 
[] Start fitting sub-8 run-51 
[] Start fitting sub-8 run-31 
[] Start fitting sub-8 run-43 
[] Start fitting sub-8 run-25 
[] Start fitting sub-8 run-35 
[] Start fitting sub-8 run-27 
[] Start fitting sub-8 run-57 
[] Start fitting sub-8 run-54 
[] Start fitting sub-8 run-23 
[] Start fitting sub-8 run-47 
[] Start fitting sub-8 run-40 
[] Start fitting sub-8 run-38 
[] Start fitting sub-8 run-50 
[] Start fitting sub-8 run-32 
[] Start fitting sub-8 run-52 
[] Start fitting sub-8 run-48 
[] Start fitting sub-8 run-44 
[] Start fitting sub-8 run-28 
[] Start fitting sub-8 run-20 
[] Start fitting sub-8 run-30 
[] Start fitting sub-8 run-36 
[] Start fitting sub-8 run-42 
[] Start fitting sub-8 run-26 
[] Start fitting sub-8 run-24 
[] Start fitting sub-8 run-58 
[] Start fitting sub-8 run-22 
[] Start fitting sub-8 run-34 
[] Start fitting sub-8 run-60 
[] Start fitting sub-8 run-59 
[] Start fitting sub-8 run-68 
[] Start fitting sub-8 run-63 
[] Start fitting sub-8 run-62 
[] Start fitting sub-8 run-56 
[] Start fitting sub-8 run-46 
[] Start fitting sub-8 run-64 
[] Start fitting sub-8 run-61 
[] Start fitting sub-8 run-69 
[] Start fitting sub-8 run-77 
[] Start fitting sub-8 run-70 
[] Start fitting sub-8 run-67 
[] Start fitting sub-8 run-65 
[] Start fitting sub-8 run-66 
[] Start fitting sub-8 run-73 
[] Start fitting sub-8 run-71 
[] Start fitting sub-8 run-72 
[] Start fitting sub-8 run-78 
[] Start fitting sub-8 run-79 
[] Start fitting sub-8 run-74 
[] Start fitting sub-8 run-80 
[] Start fitting sub-8 run-75 
[] Start fitting sub-8 run-76 
[] Start fitting sub-9 run-1 
[] Start fitting sub-9 run-2 
[] Start fitting sub-9 run-3 
[] Start fitting sub-9 run-4 
[] Start fitting sub-9 run-5 
[] Start fitting sub-9 run-6 
[] Start fitting sub-9 run-7 
[] Start fitting sub-9 run-8 
[] Start fitting sub-9 run-9 
[] Start fitting sub-9 run-10 
[] Start fitting sub-9 run-11 
[] Start fitting sub-9 run-12 
[] Start fitting sub-9 run-13 
[] Start fitting sub-9 run-14 
[] Start fitting sub-9 run-15 
[] Start fitting sub-9 run-16 
[] Start fitting sub-9 run-17 
[] Start fitting sub-9 run-18 
[] Start fitting sub-9 run-19 
[] Start fitting sub-9 run-51 
[] Start fitting sub-9 run-29 
[] Start fitting sub-9 run-49 
[] Start fitting sub-9 run-21 
[] Start fitting sub-9 run-31 
[] Start fitting sub-9 run-47 
[] Start fitting sub-9 run-35 
[] Start fitting sub-9 run-57 
[] Start fitting sub-9 run-33 
[] Start fitting sub-9 run-45 
[] Start fitting sub-9 run-23 
[] Start fitting sub-9 run-37 
[] Start fitting sub-9 run-27 
[] Start fitting sub-9 run-43 
[] Start fitting sub-9 run-53 
[] Start fitting sub-9 run-55 
[] Start fitting sub-9 run-39 
[] Start fitting sub-9 run-25 
[] Start fitting sub-9 run-50 
[] Start fitting sub-9 run-56 
[] Start fitting sub-9 run-41 
[] Start fitting sub-9 run-30 
[] Start fitting sub-9 run-46 
[] Start fitting sub-9 run-22 
[] Start fitting sub-9 run-48 
[] Start fitting sub-9 run-28 
[] Start fitting sub-9 run-38 
[] Start fitting sub-9 run-44 
[] Start fitting sub-9 run-32 
[] Start fitting sub-9 run-20 
[] Start fitting sub-9 run-54 
[] Start fitting sub-9 run-36 
[] Start fitting sub-9 run-62 
[] Start fitting sub-9 run-58 
[] Start fitting sub-9 run-42 
[] Start fitting sub-9 run-52 
[] Start fitting sub-9 run-34 
[] Start fitting sub-9 run-60 
[] Start fitting sub-9 run-65 
[] Start fitting sub-9 run-26 
[] Start fitting sub-9 run-67 
[] Start fitting sub-9 run-40 
[] Start fitting sub-9 run-66 
[] Start fitting sub-9 run-68 
[] Start fitting sub-9 run-63 
[] Start fitting sub-9 run-59 
[] Start fitting sub-9 run-61 
[] Start fitting sub-9 run-69 
[] Start fitting sub-9 run-74 
[] Start fitting sub-9 run-78 
[] Start fitting sub-9 run-76 
[] Start fitting sub-9 run-77 
[] Start fitting sub-9 run-80 
[] Start fitting sub-9 run-72 
[] Start fitting sub-9 run-73 
[] Start fitting sub-9 run-64 
[] Start fitting sub-9 run-24 
[] Start fitting sub-9 run-71 
[] Start fitting sub-9 run-79 
[] Start fitting sub-9 run-70 
[] Start fitting sub-9 run-75 
[] Start fitting sub-10 run-1 
[] Start fitting sub-10 run-2 
[] Start fitting sub-10 run-3 
[] Start fitting sub-10 run-4 
[] Start fitting sub-10 run-5 
[] Start fitting sub-10 run-6 
[] Start fitting sub-10 run-7 
[] Start fitting sub-10 run-8 
[] Start fitting sub-10 run-9 
[] Start fitting sub-10 run-10 
[] Start fitting sub-10 run-11 
[] Start fitting sub-10 run-12 
[] Start fitting sub-10 run-13 
[] Start fitting sub-10 run-14 
[] Start fitting sub-10 run-15 
[] Start fitting sub-10 run-16 
[] Start fitting sub-10 run-17 
[] Start fitting sub-10 run-18 
[] Start fitting sub-10 run-19 
[] Start fitting sub-10 run-35 
[] Start fitting sub-10 run-47 
[] Start fitting sub-10 run-37 
[] Start fitting sub-10 run-33 
[] Start fitting sub-10 run-41 
[] Start fitting sub-10 run-29 
[] Start fitting sub-10 run-51 
[] Start fitting sub-10 run-53 
[] Start fitting sub-10 run-55 
[] Start fitting sub-10 run-31 
[] Start fitting sub-10 run-27 
[] Start fitting sub-10 run-23 
[] Start fitting sub-10 run-25 
[] Start fitting sub-10 run-39 
[] Start fitting sub-10 run-57 
[] Start fitting sub-10 run-45 
[] Start fitting sub-10 run-49 
[] Start fitting sub-10 run-21 
[] Start fitting sub-10 run-34 
[] Start fitting sub-10 run-43 
[] Start fitting sub-10 run-36 
[] Start fitting sub-10 run-40 
[] Start fitting sub-10 run-52 
[] Start fitting sub-10 run-46 
[] Start fitting sub-10 run-28 
[] Start fitting sub-10 run-54 
[] Start fitting sub-10 run-50 
[] Start fitting sub-10 run-30 
[] Start fitting sub-10 run-48 
[] Start fitting sub-10 run-58 
[] Start fitting sub-10 run-32 
[] Start fitting sub-10 run-24 
[] Start fitting sub-10 run-56 
[] Start fitting sub-10 run-22 
[] Start fitting sub-10 run-38 
[] Start fitting sub-10 run-20 
[] Start fitting sub-10 run-63 
[] Start fitting sub-10 run-44 
[] Start fitting sub-10 run-60 
[] Start fitting sub-10 run-42 
[] Start fitting sub-10 run-62 
[] Start fitting sub-10 run-64 
[] Start fitting sub-10 run-59 
[] Start fitting sub-10 run-65 
[] Start fitting sub-10 run-61 
[] Start fitting sub-10 run-74 
[] Start fitting sub-10 run-71 
[] Start fitting sub-10 run-66 
[] Start fitting sub-10 run-69 
[] Start fitting sub-10 run-26 
[] Start fitting sub-10 run-79 
[] Start fitting sub-10 run-67 
[] Start fitting sub-10 run-70 
[] Start fitting sub-10 run-75 
[] Start fitting sub-10 run-77 
[] Start fitting sub-10 run-72 
[] Start fitting sub-10 run-78 
[] Start fitting sub-10 run-73 
[] Start fitting sub-10 run-80 
[] Start fitting sub-10 run-68 
[] Start fitting sub-10 run-76 
Parallel pool using the 'local' profile is shutting down.
>> >> 
